First Layer Neurons,Second Layer Neurons,Epochs,Batch_Size,Accuracy
5,5,100,32,0.5755813953488372
5,6,100,32,0.5755813953488372
5,7,100,32,0.8604651162790697
5,8,100,32,0.8488372093023255
5,9,100,32,0.8662790697674418
5,10,100,32,0.8604651162790697
6,5,100,32,0.8546511627906976
6,6,100,32,0.8604651162790697
6,7,100,32,0.5755813953488372
6,8,100,32,0.8255813953488372
6,9,100,32,0.8895348837209303
6,10,100,32,0.8837209302325582
7,5,100,32,0.8837209302325582
7,6,100,32,0.5755813953488372
7,7,100,32,0.9069767441860465
7,8,100,32,0.9069767441860465
7,9,100,32,0.8895348837209303
7,10,100,32,0.8604651162790697
8,5,100,32,0.8372093023255814
8,6,100,32,0.8430232558139535
8,7,100,32,0.8372093023255814
8,8,100,32,0.8953488372093024
8,9,100,32,0.8081395348837209
8,10,100,32,0.9069767441860465
9,5,100,32,0.872093023255814
9,6,100,32,0.8372093023255814
9,7,100,32,0.8546511627906976
9,8,100,32,0.8546511627906976
9,9,100,32,0.8255813953488372
9,10,100,32,0.8895348837209303
10,5,100,32,0.8662790697674418
10,6,100,32,0.877906976744186
10,7,100,32,0.9011627906976745
10,8,100,32,0.9011627906976745
10,9,100,32,0.872093023255814
10,10,100,32,0.5755813953488372
