Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
sorghum,8.0,413.161468,0.497054779,0.761016949,0.983527556,144.0,118.0,60.0,11.66190379
sorghum,362.0,473.286358,0.593693199,0.713398814,0.968549503,111.0,94.0,56.0,9.192388155
pearl_millet,264.0,360.7766923,0.85158693,0.632329363,0.927126186,107.0,90.0,41.0,10.60660172
pearl_millet,400.0,390.3746713,0.790725707,0.634480676,0.900188485,112.0,99.0,59.0,2.828427125
pearl_millet,407.0,289.1148246,0.6312216979999999,0.530539529,0.77261657,99.0,103.0,86.0,30.18230795
sorghum,412.0,519.9726496999999,0.308156267,0.7578867029999999,0.9657793309999999,129.0,106.0,50.0,12.02081528
sorghum,296.0,432.7178164,0.364384992,0.7108704140000001,0.968621194,115.0,96.0,45.0,8.485281374
pearl_millet,141.0,335.01933260000004,0.704060232,0.666408669,0.9273021,106.0,81.0,36.0,24.69817807
sorghum,338.0,467.00208849999996,0.4434625,0.729765379,0.9751368779999999,137.0,113.0,52.0,10.63014581
pearl_millet,483.0,526.1589151000001,0.50561908,0.5663803070000001,0.8363393720000001,73.0,71.0,63.0,8.275435245
pearl_millet,284.0,309.7644991,0.548333396,0.608560091,0.891703873,92.0,77.0,39.0,20.0
pearl_millet,313.0,358.0904005,0.79198527,0.643328735,0.953483277,113.0,99.0,62.0,0.0
pearl_millet,303.0,423.7888843,0.613683434,0.658676394,0.922515509,105.0,93.0,55.0,16.4924225
sorghum,120.0,481.28635760000003,0.48408937399999996,0.7097342659999999,0.9618271420000001,109.0,89.0,38.0,15.0
pearl_millet,107.0,220.4091611,0.8422826309999999,0.662656559,0.891179078,108.0,100.0,70.0,7.810249676000001
sorghum,455.0,486.80107699999996,0.382563329,0.721939497,0.9725025709999999,118.0,99.0,56.0,12.80624847
sorghum,417.0,436.85995189999994,0.321966724,0.75997353,0.977029655,139.0,112.0,53.0,16.26345597
sorghum,406.0,433.5462438999999,0.614674003,0.7475175909999999,0.9712491459999999,133.0,111.0,63.0,16.40121947
sorghum,364.0,439.5878731000001,0.341375685,0.722468588,0.9757923629999999,157.0,134.0,86.0,12.04159458
