Type,Area,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
rice,1316.5,172.89444160461426,0.9444123679299077,0.46160589060308554,0.9417024320457796,56,74,75,5.385164807134504
rice,1362.5,171.63960909843445,0.9427527157210821,0.6582125603864735,0.9605216778286922,69,90,92,-5.0
rice,1670.5,207.92387974262238,0.9565301993980078,0.4917574330291434,0.9464589235127479,58,82,84,-2.0
rice,1730.5,212.89444196224213,0.9668957779312953,0.4306869089099054,0.9448539448539448,41,54,54,8.06225774829855
rice,1708.5,214.40916109085083,0.9549094659457806,0.4902439024390244,0.929795918367347,47,64,64,7.211102550927978
rice,1219.5,193.9238795042038,0.9492264241038084,0.5619815668202764,0.8748206599713056,42,60,61,-7.0
rice,1294.0,195.62236404418945,0.9718102000299963,0.3692922374429224,0.9493763756419662,59,79,82,1.0
rice,1612.0,191.33809292316437,0.9360373040632304,0.5433097404785979,0.9361207897793263,50,67,69,7.0
rice,1579.0,209.6812388896942,0.9515914541207872,0.5629233511586452,0.9180232558139535,51,67,67,-1.0
rice,1535.0,196.30865573883057,0.9305055228804154,0.46515151515151515,0.9345509893455098,57,78,80,8.94427190999916
rice,1532.5,199.23758816719055,0.9655111895127824,0.4408803222094361,0.9596117720726361,59,78,79,1.0
rice,1751.5,201.86500430107117,0.9432719399624012,0.4346153846153846,0.9495798319327731,61,88,92,8.94427190999916
rice,1539.5,195.92387974262238,0.9579679238832679,0.4934294871794872,0.9470932020916641,59,76,77,-0.0
rice,1644.0,201.88224971294403,0.9607213687441448,0.7736470588235295,0.9516642547033285,63,86,89,-7.0
rice,1265.5,166.8111822605133,0.9464860999640977,0.6646533613445378,0.9298310066127847,56,77,80,-6.0
rice,1173.0,172.1665199995041,0.9624951184830911,0.4231601731601732,0.9291089108910892,45,57,58,4.47213595499958
rice,1562.0,206.7939372062683,0.9692724736670583,0.39444444444444443,0.9185533666568656,39,51,51,7.810249675906654
rice,1288.0,177.1959581375122,0.9467979565149081,0.5420875420875421,0.9279538904899135,46,64,66,1.0
rice,1615.0,207.4802281856537,0.9699567000808486,0.4196985446985447,0.9332562843108928,41,57,57,5.656854249492381
rice,1402.5,189.5807341337204,0.9413009383653729,0.5030487804878049,0.9211822660098522,42,55,56,2.0
rice,1769.0,214.3675309419632,0.954203566779823,0.6625468164794007,0.9344955097728473,53,75,76,-2.8284271247461903
rice,1653.5,207.37972378730774,0.9736631174401826,0.397380437394857,0.944317532838378,57,79,80,2.1213203435596424
rice,1569.5,194.9533177614212,0.940948548746438,0.6850720209515495,0.9273264401772526,60,83,86,-4.949747468305833
rice,1538.5,194.95331704616547,0.9592070448730129,0.7305318138651472,0.9508652657601978,72,96,98,-7.0
rice,1496.5,204.61017155647278,0.9718793217586288,0.5273079633544749,0.9370695053224797,64,88,91,-6.324555320336759
rice,1564.5,206.40916085243225,0.9644697604875014,0.47109304426377596,0.9357057416267942,52,77,82,-4.242640687119285
rice,1227.5,169.78174436092377,0.9362191553329626,0.573062558356676,0.9338151388360594,49,69,70,-2.8284271247461903
rice,1347.0,178.22539567947388,0.9512581681692028,0.7483333333333333,0.9489256780556534,70,91,93,-6.082762530298219
rice,1359.0,205.76449942588806,0.9674707186876347,0.33873379860418745,0.9075125208681135,36,47,47,6.324555320336759
rice,1685.5,204.6101713180542,0.9521938923615902,0.5901610644257703,0.9369093941078377,60,84,86,-4.0
