Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
sorghum,1,429.16146838665014,0.4843340417652255,0.7485505830239072,0.9792492223784568,136,113,63,16.1245154965971
sorghum,2,455.2030977010727,0.5782594553069879,0.7133487654320988,0.9693120412936528,116,92,37,5.0990195135927845
sorghum,3,489.73000836372375,0.4018883058568225,0.7602503912363068,0.9777926870177792,139,118,61,9.192388155425117
sorghum,4,422.61731112003326,0.2703053250363397,0.7233137279439369,0.9770114942528736,133,107,58,15.620499351813306
sorghum,5,484.0731545686722,0.19699375249281406,0.7259217067108533,0.974997391939354,122,102,61,12.041594578792296
sorghum,6,416.4751759767532,0.5796816325491977,0.7125849149100077,0.9756916143261256,121,101,56,15.0
sorghum,7,487.4457387924194,0.4497640724687955,0.7528114422971941,0.9729081416678426,131,112,71,11.31370849898476
sorghum,8,413.1614680290222,0.4970547787658516,0.7610169491525424,0.9835275562954524,144,118,60,11.6619037896906
sorghum,9,469.24472737312317,0.4226653523939355,0.651728209531988,0.9638449021708934,112,92,49,5.0
sorghum,10,479.2447291612625,0.5882351426786598,0.7326015490054048,0.9714792374759864,134,112,59,6.363961030678928
sorghum,11,405.4041081666946,0.4841705423928595,0.7011806375442738,0.9650111032876564,103,84,43,8.48528137423857
sorghum,12,520.4163004159926,0.4897849387815649,0.7813329250867525,0.9717567910637216,146,120,65,12.727922061357855
sorghum,13,502.55843603610987,0.4984915316542477,0.7529411764705882,0.9692380501656412,142,118,63,21.2602916254693
sorghum,14,442.8599518537522,0.3602038245763287,0.7323757381889764,0.9737057332133804,132,108,62,13.601470508735444
sorghum,15,474.17366075515747,0.2411316280643384,0.7511074197120708,0.9729438954415046,120,100,53,14.422205101855955
sorghum,16,387.5046148300171,0.5871766178353095,0.7373737373737373,0.9673760458195294,112,88,47,19.798989873223327
sorghum,17,495.9310190677643,0.3787325862388996,0.7560048647005169,0.9767259157419228,137,116,72,17.262676501632072
sorghum,18,471.6883791685104,0.3902964208422072,0.7634612821538052,0.9629738589560394,102,85,36,13.601470508735444
sorghum,19,481.10259306430817,0.4601047557431142,0.7129569543586416,0.9678461312582588,149,120,66,14.212670403551895
sorghum,20,497.0020875930786,0.385578531911628,0.7657192759606224,0.9773026649103252,117,98,46,18.35755975068582
