Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
sorghum,1,429.1614683866501,0.4843340417652255,0.7485505830239072,0.9792492223784567,41,78,95,16.1245154965971
sorghum,2,455.2030977010727,0.578259455306988,0.7133487654320988,0.9693120412936527,32,68,84,5.0990195135927845
sorghum,3,489.73000836372375,0.4018883058568225,0.7602503912363068,0.9777926870177792,48,85,99,9.192388155425117
sorghum,4,422.61731112003326,0.27030532503633975,0.7233137279439369,0.9770114942528736,41,74,90,15.620499351813308
sorghum,5,484.0731545686722,0.19699375249281406,0.7259217067108533,0.9749973919393539,53,79,91,12.041594578792296
sorghum,6,416.47517597675323,0.5796816325491977,0.7125849149100077,0.9756916143261255,37,62,73,15.0
sorghum,7,487.44573879241943,0.4497640724687955,0.752811442297194,0.9729081416678426,52,86,101,11.313708498984761
sorghum,8,413.1614680290222,0.49705477876585163,0.7610169491525424,0.9835275562954525,41,77,92,11.661903789690601
sorghum,9,469.24472737312317,0.4226653523939355,0.651728209531988,0.9638449021708934,43,73,86,5.0
sorghum,10,479.2447291612625,0.5882351426786598,0.7326015490054048,0.9714792374759864,44,73,85,6.363961030678928
sorghum,11,405.40410816669464,0.4841705423928595,0.701180637544274,0.9650111032876564,32,57,69,8.48528137423857
sorghum,12,520.4163004159927,0.48978493878156487,0.7813329250867525,0.9717567910637217,48,83,100,12.727922061357855
sorghum,13,502.5584360361099,0.49849153165424764,0.7529411764705882,0.9692380501656412,46,83,100,21.2602916254693
sorghum,14,442.85995185375214,0.3602038245763287,0.7323757381889764,0.9737057332133803,43,72,87,13.601470508735444
sorghum,15,474.17366075515747,0.24113162806433838,0.7511074197120708,0.9729438954415046,43,73,85,14.422205101855956
sorghum,16,387.5046148300171,0.5871766178353095,0.7373737373737373,0.9673760458195294,35,60,75,19.79898987322333
sorghum,17,495.9310190677643,0.37873258623889955,0.7560048647005169,0.9767259157419228,51,80,93,17.26267650163207
sorghum,18,471.68837916851044,0.39029642084220717,0.7634612821538052,0.9629738589560394,27,55,66,13.601470508735444
sorghum,19,481.10259306430817,0.4601047557431142,0.7129569543586416,0.9678461312582587,48,82,101,14.212670403551895
sorghum,20,497.0020875930786,0.385578531911628,0.7657192759606224,0.9773026649103252,37,69,79,18.35755975068582
sorghum,21,441.5462440252304,0.27966060645117646,0.7595986670530281,0.9595515900251659,44,75,91,17.204650534085253
sorghum,22,462.1320297718048,0.3324053650102501,0.7647430376112546,0.9731823164048228,47,82,98,14.849242404917497
sorghum,23,473.3452328443527,0.5111435327082121,0.7693194600674915,0.9764428739693758,47,79,92,10.606601717798213
sorghum,24,449.6883784532547,0.09921177727787525,0.7496581975618093,0.9762602470418043,52,84,102,10.63014581273465
sorghum,25,556.256920337677,0.3658307116888921,0.7132298136645963,0.9683213402293681,49,84,103,2.8284271247461903
sorghum,26,434.03152561187744,0.4741227718815872,0.7415565802592223,0.9793441138954039,45,76,91,17.67766952966369
sorghum,27,503.6295043230057,0.40690582791421714,0.7097935901774061,0.972449418854929,46,76,90,2.1213203435596424
sorghum,28,445.4457380771637,0.5034068875324795,0.7186126373626374,0.964020822776063,40,69,86,17.204650534085253
sorghum,29,427.6467491388321,0.4289966541388403,0.7569802114394145,0.9701654579406783,47,82,96,19.79898987322333
sorghum,30,433.10259211063385,0.4679275612867043,0.6910493827160494,0.9645872824401172,47,77,89,12.020815280171307
sorghum,31,438.51680636405945,0.4286509224954048,0.7214657738095238,0.9471088103145145,45,63,75,17.4928556845359
sorghum,32,454.75944697856903,0.45328712181347014,0.7351666666666666,0.9809852107194484,53,86,104,9.219544457292887
sorghum,33,454.0731545686722,0.5276350835340928,0.7128063725490196,0.9676426551322576,42,74,90,10.606601717798213
sorghum,34,489.58787274360657,0.542783716117117,0.7463768115942029,0.980340674127802,53,90,107,15.231546211727817
sorghum,35,454.37467110157013,0.3960992045469386,0.7813401442307693,0.9797294751516522,42,67,78,14.849242404917497
sorghum,36,459.30360317230225,0.42894366417488633,0.7405106970324362,0.9466254962505514,55,86,100,15.231546211727817
sorghum,37,486.45793104171753,0.5658868459400871,0.7058566208635685,0.9715935253072645,50,84,99,13.435028842544403
sorghum,38,505.6295040845871,0.27898455213226864,0.7399092615769712,0.9683660933660934,49,79,92,11.661903789690601
sorghum,39,450.65894174575806,0.39994999566583916,0.7165906127770535,0.963493733017793,52,81,94,15.264337522473747
sorghum,40,495.7300091981888,0.6868920933995871,0.6301946013810421,0.9279046122562159,29,56,72,13.038404810405298
sorghum,41,445.7888845205307,0.3594196141153419,0.7361419068736141,0.9731314118221788,46,82,100,16.278820596099706
sorghum,42,496.31579530239105,0.3248735181346309,0.741141235813367,0.9601388605268532,33,66,85,15.556349186104045
sorghum,43,486.5584362745285,0.5953539365736111,0.6916078431372549,0.9674163466812946,38,76,93,4.47213595499958
sorghum,44,452.7178168296814,0.4028972579150449,0.7742401870308847,0.9774368932038835,38,69,87,16.97056274847714
sorghum,45,462.61731147766113,0.5018062090816315,0.776143684518774,0.972164486286017,48,72,86,24.73863375370596
sorghum,46,485.2447278499603,0.4065956576149028,0.7907680018258587,0.9760546517360378,48,80,96,15.620499351813308
sorghum,47,463.1025927066803,0.3659939342691287,0.7395467084978634,0.979089086221713,48,82,95,8.48528137423857
sorghum,48,421.5462431907654,0.5354373962814548,0.7501696986152593,0.9810039501131774,45,77,93,20.518284528683193
sorghum,49,432.37467074394226,0.3995039443550393,0.7430418584264739,0.9662755901771719,36,63,77,18.439088914585774
sorghum,50,402.23253524303436,0.4862473062556374,0.7521758209610181,0.9810645807497854,42,75,90,10.0
sorghum,51,458.5168068408966,0.42580328473407786,0.7614813367207348,0.9653962092744766,44,74,90,16.97056274847714
sorghum,52,442.0315247774124,0.520894553824637,0.7295096852300242,0.9814724326085186,45,69,79,12.727922061357855
sorghum,53,398.9188268184662,0.4578370383403472,0.7724576271186441,0.9796765841027896,39,71,85,22.47220505424423
sorghum,54,421.2030975818634,0.48286690585463293,0.7201616245337754,0.9747580984434161,39,65,77,17.67766952966369
sorghum,55,425.06096291542053,0.5284727337843291,0.7453716789146411,0.9683297379171065,49,80,94,21.540659228538015
sorghum,56,475.8893903493881,0.44613066840517246,0.797200226244344,0.9801460361613352,36,74,90,13.038404810405298
sorghum,57,478.0315248966217,0.5019984079322845,0.7487229745782846,0.9642392717815345,47,82,98,15.0
sorghum,58,485.14422285556793,0.22089516579674456,0.7426582610979774,0.9782029547105837,46,77,90,9.219544457292887
sorghum,59,432.8599523305893,0.24579329486939813,0.736693343495935,0.9752785368929998,43,77,92,10.606601717798213
sorghum,60,441.44573879241943,0.3022888275725317,0.7547546941247729,0.9817608824108726,38,69,84,13.435028842544403
sorghum,61,613.1269774436951,0.4137550026624882,0.699374149659864,0.9518201681294671,40,66,77,12.206555615733702
sorghum,62,487.0020877122879,0.41318901696188015,0.7492086330935251,0.9670170486201389,35,66,82,20.615528128088304
sorghum,63,459.73000955581665,0.37095760607138584,0.7227277833951241,0.9763241766580665,56,88,105,8.48528137423857
sorghum,64,458.51680624485016,0.2737227563545561,0.7071811023622048,0.9613375578009933,53,81,94,13.038404810405298
sorghum,65,462.71781623363495,0.5449724675444975,0.7534202146479537,0.9693118883241029,41,71,86,10.0
sorghum,66,477.0020866394043,0.42075686826991804,0.7477121690815993,0.9765580535002846,40,66,77,12.041594578792296
sorghum,67,495.4873676300049,0.641335123402997,0.7308007582355653,0.9731545913494337,53,90,109,14.866068747318506
sorghum,68,504.94321274757385,0.32805057095732604,0.7307868908913505,0.9540669139410288,35,75,94,14.142135623730951
sorghum,69,470.13203048706055,0.4535316914739337,0.7705548128342246,0.9800906900949412,51,85,101,17.804493814764857
sorghum,70,452.03152453899384,0.31148799798163535,0.7604440275171982,0.9721766939836098,45,72,83,15.811388300841896
sorghum,71,457.20309805870056,0.5024673972284898,0.7777744342802119,0.9808363691560413,43,77,91,15.811388300841896
sorghum,72,519.1442229747772,0.43495015846949286,0.7463155515370705,0.9796457288668664,43,78,92,13.892443989449804
sorghum,73,480.3157956600189,0.3367136442109479,0.7489309553608677,0.9796384720327421,43,73,85,10.606601717798213
sorghum,74,416.2741664648056,0.4232662297836068,0.7286472148541114,0.9790172406112175,43,74,88,17.4928556845359
sorghum,75,444.1320298910141,0.6160851698963219,0.7575333333333333,0.9758254970157585,44,80,95,24.698178070456937
sorghum,76,520.1147853136063,0.35997956593725183,0.7434348867915301,0.9709094392642739,41,71,86,12.083045973594572
sorghum,77,467.34523344039917,0.44569656547669917,0.749612356870229,0.9736628064603586,39,71,85,20.248456731316587
sorghum,78,491.688379406929,0.530338170340817,0.7721088435374149,0.982243020609635,51,87,102,21.37755832643195
sorghum,79,410.1320298910141,0.3678296060239997,0.7402926687916546,0.9692227438706312,33,68,81,16.1245154965971
sorghum,80,446.8599525690079,0.26932370161914754,0.7552311010083348,0.9839021982611337,42,76,91,16.97056274847714
sorghum,81,446.85995149612427,0.49655091276081464,0.7422321428571429,0.9803066037735849,50,84,99,15.0
sorghum,82,453.14422249794006,0.3655905413235447,0.722850529100529,0.9656741473758614,40,67,80,10.816653826391969
sorghum,83,436.61731135845184,0.4960391127835382,0.7501725327812284,0.9661792809208479,48,78,95,16.401219466856727
sorghum,84,440.23253560066223,0.35689030208570033,0.762983630952381,0.9636329464831086,44,65,75,16.278820596099706
sorghum,85,455.4457379579544,0.41742905330279395,0.7587867116032739,0.9730272043218213,43,71,84,10.816653826391969
sorghum,86,402.3330411911011,0.4523462210724672,0.7333035514853696,0.9747142362313821,41,69,82,14.212670403551895
sorghum,87,447.445738196373,0.49910475801655496,0.7575141660507514,0.9777018164473946,44,80,95,20.591260281974
sorghum,88,445.3452342748642,0.547822696311776,0.6927102687972253,0.96409792259288,37,68,83,5.830951894845301
sorghum,89,437.54624366760254,0.33881565690623766,0.7484491315136477,0.9695954995981784,37,66,85,18.973665961010276
sorghum,90,460.7594462633133,0.4305689675406638,0.7447131745260087,0.9759496695070479,42,68,78,12.041594578792296
sorghum,91,417.44573855400085,0.5237463629081165,0.7195652173913043,0.9777996598334975,53,84,102,9.192388155425117
sorghum,92,394.4335457086563,0.3275220612182633,0.7487532175032175,0.9730817478569935,36,64,75,17.029386365926403
sorghum,93,457.445739030838,0.5234381587557325,0.7509142857142858,0.9792831060436694,58,89,105,17.67766952966369
sorghum,94,481.0020878314972,0.6519545487154446,0.6943034866590276,0.964525298465037,38,64,77,3.1622776601683795
sorghum,95,410.1320301294327,0.4656834982101668,0.7198775239986759,0.9627580100713851,36,52,65,18.439088914585774
sorghum,96,450.51680636405945,0.3590484812494661,0.7529430894308943,0.9702061682869595,32,65,79,14.866068747318506
sorghum,97,470.27416455745697,0.3263201546388356,0.767008547008547,0.9787682687413655,47,83,99,14.142135623730951
sorghum,98,456.8599519729614,0.5530029415713709,0.6996295534060506,0.9565278559369724,36,61,74,5.0
sorghum,99,472.0731544494629,0.22755109713679217,0.726545842217484,0.9732238486254909,47,77,90,6.4031242374328485
sorghum,100,441.88938987255096,0.32046486896498266,0.7488193624557261,0.9721548090433005,41,70,82,16.64331697709324
sorghum,101,447.203097820282,0.3609185223652659,0.75153125,0.9777208602675123,41,73,88,16.1245154965971
sorghum,102,493.7300091981888,0.3695363588472052,0.7420474262579526,0.9728071687058418,43,76,90,13.0
sorghum,103,460.2741656303406,0.32672195303380736,0.7432134490836434,0.9678779721848363,29,58,75,14.849242404917497
sorghum,104,454.9604572057724,0.3671677440798292,0.7287157287157288,0.96,47,79,94,15.0
sorghum,105,473.7888842821121,0.4956884042469621,0.7588403950302645,0.9831802703539366,47,77,88,7.0710678118654755
sorghum,106,500.943212389946,0.45079741477401164,0.7108085345311622,0.9478156702729008,36,66,83,2.23606797749979
sorghum,107,482.90158128738403,0.5265457774890111,0.7004251062765692,0.9767409422185026,44,73,84,11.40175425099138
sorghum,108,471.83051574230194,0.3890742468618759,0.7383394570320474,0.9816473302123617,48,78,91,8.48528137423857
sorghum,109,432.33304047584534,0.4818833068907573,0.7666806840482198,0.9652342715962234,48,82,98,16.278820596099706
sorghum,110,512.4579305648804,0.45158686595138764,0.7327612863327149,0.9579262952233376,57,90,105,10.816653826391969
sorghum,111,446.3746705055237,0.32192151813585324,0.7415861081274615,0.9791601008509297,40,64,77,14.422205101855956
sorghum,112,433.16146755218506,0.5290490006661639,0.7693756337824135,0.9732007879426451,42,77,94,28.0
sorghum,113,449.93102037906647,0.38693238663301965,0.7247551502870652,0.9784566282913485,52,84,98,12.806248474865697
sorghum,114,436.6589422225952,0.2969656989669939,0.7119493287956136,0.9711154094132818,44,73,86,10.816653826391969
sorghum,115,482.13203048706055,0.5314010779785394,0.7806136301927776,0.9693189480782198,36,60,75,16.1245154965971
sorghum,116,483.5878738164902,0.5544080416022645,0.7267452083699666,0.9693913451389703,41,69,83,15.231546211727817
sorghum,117,452.9015818834305,0.457124108640459,0.6555957128614157,0.9498916576381365,44,78,93,11.313708498984761
sorghum,118,490.80107712745667,0.35030505307198806,0.7258220996732027,0.9775462485386149,51,83,96,6.4031242374328485
sorghum,119,540.3574256896973,0.24669546294348096,0.7144263144263144,0.9540675152185943,39,71,86,-2.23606797749979
sorghum,120,481.2863576412201,0.4840893740428564,0.7097342657342657,0.9618271417740712,28,57,69,15.0
sorghum,121,452.96045672893524,0.493003424933154,0.773047563123899,0.9799397074695746,41,80,97,23.430749027719962
sorghum,122,465.2447280883789,0.45869015228070364,0.7291119860017498,0.9752779403159743,40,76,92,13.416407864998739
sorghum,123,488.2152900695801,0.2836969536101364,0.6952939022157114,0.9548998239584207,40,69,82,7.615773105863909
sorghum,124,516.8427078723907,0.3133828918358748,0.7111724137931035,0.9711810133735167,41,77,95,13.435028842544403
